epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,5962.24,1.26425,7.071,0.96517,0.44003,0.18601,0.25559,0.18954,1.20961,2.25833,0.97557,5.43932e-05,5.43932e-05,5.43932e-05
86,6025.37,1.40994,3.30659,1.01549,0.46182,0.17278,0.25129,0.18672,1.20567,2.25939,0.97495,5.11955e-05,5.11955e-05,5.11955e-05
87,6098.97,1.38724,6.12914,0.97262,0.49886,0.13161,0.25046,0.18593,1.20373,2.2014,0.97458,4.79978e-05,4.79978e-05,4.79978e-05
88,6150.65,1.52742,4.74757,1.05089,0.51421,0.14418,0.27308,0.18756,1.20617,2.17759,0.97593,4.48001e-05,4.48001e-05,4.48001e-05
89,6202.24,1.56262,4.46882,1.09725,0.51411,0.14474,0.27437,0.18699,1.20159,2.17549,0.97434,4.16024e-05,4.16024e-05,4.16024e-05
90,6253.11,1.22586,10.0225,0.88452,0.51027,0.14753,0.27413,0.1867,1.20369,2.1923,0.97412,3.84047e-05,3.84047e-05,3.84047e-05
91,6302.26,1.06595,17.3949,0.81059,0.42849,0.18161,0.27396,0.18351,1.21111,2.17026,0.97978,3.5207e-05,3.5207e-05,3.5207e-05
92,6352.59,1.04844,19.7924,0.76707,0.33139,0.21407,0.25746,0.18296,1.20531,2.25057,0.97322,3.20093e-05,3.20093e-05,3.20093e-05
93,6411.23,1.26876,6.83956,0.96046,0.28181,0.2505,0.24238,0.17225,1.20021,2.33984,0.96915,2.88116e-05,2.88116e-05,2.88116e-05
94,6470.36,1.09071,16.1435,0.81257,0.08105,0.40901,0.24898,0.17857,1.20301,2.43762,0.96974,2.56139e-05,2.56139e-05,2.56139e-05
95,6527.12,0.93235,16.432,0.74407,0.07858,0.40782,0.24966,0.17701,1.2004,2.50455,0.96977,2.24162e-05,2.24162e-05,2.24162e-05
96,6583.16,0.86132,22.726,0.6703,0.07786,0.40782,0.27741,0.2003,1.19624,2.59698,0.96992,1.92185e-05,1.92185e-05,1.92185e-05
97,6637.86,0.92904,18.5423,0.70986,0.07849,0.42582,0.2861,0.2027,1.19477,2.68357,0.97133,1.60208e-05,1.60208e-05,1.60208e-05
98,6693.43,1.10415,15.1613,0.79008,0.10303,0.42522,0.28552,0.20153,1.19666,2.75668,0.97118,1.28231e-05,1.28231e-05,1.28231e-05
99,6755.03,0.88669,20.1504,0.64708,0.10145,0.42574,0.29013,0.20517,1.19439,2.78708,0.9703,9.6254e-06,9.6254e-06,9.6254e-06
100,6814.66,1.00016,15.6624,0.75649,0.09449,0.38486,0.26621,0.19572,1.19693,2.81829,0.97314,6.4277e-06,6.4277e-06,6.4277e-06
